INFO 2025-05-16 20:26:00,089 services 35616 40772 No recommendations generated for user 15
INFO 2025-05-16 20:26:00,090 signals 35616 40772 Generated 0 recommendations for user 15 synchronously.
INFO 2025-05-17 18:54:49,628 apps 47556 47596 RecommendationsConfig ready method called.
INFO 2025-05-17 18:54:56,457 apps 37772 43312 RecommendationsConfig ready method called.
INFO 2025-05-17 18:55:51,470 signals 37772 49240 User testnumber2 (ID: 15) has reached 22 ratings. Generating recommendations.
INFO 2025-05-17 18:55:51,471 signals 37772 49240 Training new recommendation model to include user 15's ratings
INFO 2025-05-17 18:55:51,471 services 37772 49240 Starting training of svd recommendation model
INFO 2025-05-17 18:55:51,781 recommendation_engine 37772 49240 RecommendationEngine initialized with model type: SVD
INFO 2025-05-17 18:55:51,785 recommendation_engine 37772 49240 Starting model training process...
INFO 2025-05-17 18:55:51,785 recommendation_engine 37772 49240 Filtering users with less than 5 ratings.
INFO 2025-05-17 18:55:51,797 recommendation_engine 37772 49240 Users before filtering: 15. Users after filtering: 15. Ratings remaining: 2130
INFO 2025-05-17 18:55:51,797 recommendation_engine 37772 49240 Creating Surprise Dataset with scale (1, 5).
INFO 2025-05-17 18:55:51,806 recommendation_engine 37772 49240 Splitting data into training and testing sets.
INFO 2025-05-17 18:55:51,811 recommendation_engine 37772 49240 Training SVD model...
INFO 2025-05-17 18:55:51,843 recommendation_engine 37772 49240 Model training complete.
INFO 2025-05-17 18:55:51,844 recommendation_engine 37772 49240 Evaluating model on the test set...
INFO 2025-05-17 18:55:51,847 recommendation_engine 37772 49240 Evaluation - RMSE: 1.2850, MAE: 1.1032
INFO 2025-05-17 18:55:51,866 services 37772 49240 Successfully trained and saved svd model with id 4
INFO 2025-05-17 18:55:51,867 signals 37772 49240 Successfully trained new model (ID: 4) including user 15's data
ERROR 2025-05-17 18:55:56,097 signals 37772 49240 Failed to trigger async recommendations for user 15: [WinError 10061] No connection could be made because the target machine actively refused it
INFO 2025-05-17 18:55:56,113 recommendation_engine 37772 49240 Generating 10 recommendations for user_id '15'.
INFO 2025-05-17 18:55:56,125 recommendation_engine 37772 49240 Successfully generated 10 recommendations for user '15'.
INFO 2025-05-17 18:55:56,146 services 37772 49240 Generated 10 recommendations for user 15
INFO 2025-05-17 18:55:56,147 signals 37772 49240 Generated 10 recommendations for user 15 synchronously.
